Year,Month,Day,t_max_B,t_min_B,R_B,U2_B,RH_B,t_max_A,t_min_A,R_A,U2_A,RH_A
2021,5,146,29.4,22.36,134.7,1.38,87,34.06,16.2,127.51,4.99,62.62
2021,5,147,30.3,21.94,124.41,1.58,86,30.61,16.45,135.97,4.15,58.19
2021,5,148,28.74,22.81,106.81,0.94,89.12,25.33,13.8,122.41,3.57,62.62
2021,5,149,28.11,21.96,128.3,1.33,85.19,26.73,15.87,105.82,4.53,71.38
2021,5,150,27.54,18.59,139.13,1.91,81.31,23.55,15.93,87.66,4.52,80.81
2021,5,151,29.19,20.22,123.13,1.68,82.38,20.22,13.69,56.1,3.59,78.88
2021,6,152,27.04,23.07,68.98,1.46,91.62,21.3,11.8,104.88,1.18,75.19
2021,6,153,29.32,21.21,132.35,0.77,83.25,27.13,12.25,155.6,2.06,65.25
2021,6,154,30.09,22.63,86.05,0.83,82.62,28.02,13.37,151.47,2.26,62.44
2021,6,155,26.33,22.23,76.9,1.28,93,28.95,14.98,161.55,3.88,60.44
2021,6,156,28.34,22.45,110.96,1.45,87.69,28.5,16.12,160.24,4.4,62
2021,6,157,29.96,22.18,126.04,1.41,87,31.77,16.43,148.64,3.87,65.81
2021,6,158,29.33,24.65,85.18,2.33,89.88,33.87,18.91,128.81,2.19,64.38
2021,6,159,29.8,25.31,129.59,2.08,87.81,36.51,18.78,159.39,3.51,55.56
2021,6,160,29.5,24.69,133.24,1.64,86.75,39.42,17.23,161.1,2.24,33.12
2021,6,161,31.16,23.71,127.66,1.62,82.44,40.75,19.48,158.05,3.82,40.25
2021,6,162,31.37,23.33,149.36,1.58,82.12,35.69,21.07,157.51,4.38,36.38
2021,6,163,34.27,23.09,133.57,1.14,79.56,34.42,20.21,128.45,4.01,59.69
2021,6,164,33.76,24.93,139.28,1.15,80,36.83,20.38,157.41,3.05,53.25
2021,6,165,32.68,24.5,147.72,1.08,80.94,33.87,21.68,163.71,3.27,55.19
2021,6,166,33.51,25.69,132.79,0.6,76.44,37.07,18.62,164.82,2.75,45.75
2021,6,167,33.5,23.87,153.18,1.01,81.25,38.5,20.81,163.38,3.91,39.38
2021,6,168,31.68,22.52,150.22,1.45,75.5,37.57,20.56,165.43,4.28,31.38
2021,6,169,32.65,20.94,154.23,1.41,75.25,38.08,20.27,163.57,4.15,31.44
2021,6,170,34.45,23.2,151.39,1.05,74.06,38.55,20.48,162.33,3.86,32.12
2021,6,171,31.36,24.66,116.47,1.88,85.62,40.53,22.52,160.38,3.42,32.5
2021,6,172,30.92,25.83,106.42,2.18,85.19,27.74,17.48,138.23,5,48.25
2021,6,173,32.21,25.92,104.09,0.79,83.25,35.46,14.93,160.23,4.51,43.75
2021,6,174,32.71,24.82,121.96,1.4,82.94,40.65,23.13,156.04,5.74,36.31
2021,6,175,32.51,25.6,115.64,1.59,84.69,40.39,24.05,151.41,4.84,37.19
2021,6,176,31.66,25.61,116.98,1.62,87,36.79,23.08,134.79,3.86,53.69
2021,6,177,31.65,25.3,126.55,1.87,81.69,29.4,19.91,122.58,3.33,70.81
2021,6,178,30.58,24.8,134.03,1.9,84.25,25.19,18.24,97.3,2.7,71.62
2021,6,179,26.99,24.48,42.61,1.79,94.19,25.6,16.93,67.66,2.25,75.38
2021,6,180,29.42,24.44,103.26,1.59,86.88,25.47,16.9,87.84,2.48,80.88
2021,6,181,31.33,24.15,129.69,1.2,83.56,27.23,17.92,104.62,2.04,78.62
2021,7,182,32.62,24.71,143.54,0.85,77.56,28.35,18.82,128.12,2.5,74.25
2021,7,183,29.96,24.55,88.46,0.8,85.44,27.79,19.15,92.4,0.93,78.56
2021,7,184,29.66,24.09,89.25,0.76,88.44,29.03,18.9,137.94,1.94,76.19
2021,7,185,30.94,23.94,121.98,0.98,83,30.41,19.8,108.52,3.34,77.19
2021,7,186,29.4,24.33,100.24,0.91,86.25,29.63,19.55,138.05,2.61,76.06
2021,7,187,29.43,24.26,122.16,1.11,85.62,29.26,19.31,143.7,2.43,71.69
2021,7,188,28.25,23.73,99.65,1.38,85.94,28.64,18.76,133.4,1.39,72.19
2021,7,189,28.12,23.47,106.76,2.07,89.62,33.09,19.37,161.56,1.71,58.31
2021,7,190,27.58,24.57,60.1,1.7,92.69,34.35,19.81,158.41,3.99,54.94
2021,7,191,31.8,24.88,125.09,1.66,83.44,35.69,19.74,155.01,3.28,55.69
2021,7,192,31.29,24.19,82.48,1.68,85.81,29.05,19.53,141.45,2.85,60.62
2021,7,193,30.76,24.45,84.52,1.27,84.5,33.42,16.85,151.03,2.74,55.88
2021,7,194,31.73,24.11,119.64,0.99,81.25,33.79,19.97,153.19,4.32,48.62
2021,7,195,30.26,24.16,100.42,1.16,85.31,34.08,18.9,156.12,5.27,48.75
